wordform,occurence
манныкка,5
манныкпыный,1
манныктар,1
манньа,2
манньабытыгар,1
манньата,1
манньатыгар,2
манньатын,1
манньаҕа,1
манньаҕын,2
манньаҕыт,2
манньыаппын,1
манньыат,4
манньыаттаах,7
манньыаттары,1
манньыаттарын,2
манньыаты,1
манньыатын,1
манньыйан,4
манньыйар,2
манньыйбыт,2
манньыйбытыттан,1
манньыйдын,2
манньыппатахтара,2
манньытар,1
мансардатыгар,1
манси,4
мансийкай,2
мансийскай,9
мансийскайга,2
мансийскайтан,1
мантал,1
мантан,165
мантап,2
мантуров,5
мантуровы,1
мантыкайа,1
мантыкан,2
мантын,1
мануальнай,4
манускриибы,1
манускриибэ,1
мануфактура,2
мануфактурнай,1
манхан,1
манхатыахха,1
манцейскай,1
манчаары,49
манчаарыны,2
манчестер,2
манчжур,1
манчжурияны,1
манчжурияҕа,1
манчжуро,1
манчыыктыахпын,1
маны,763
маныаха,81
маныахтар,1
маныахтарын,1
маныахха,2
маныкайы,2
маныы,1
маныыбыт,1
маныылларын,1
маныыр,8
маныырга,2
маныыһыт,3
маныыһыта,1
маньдьуур,1
маньжурдар,1
маньковка,1
маньньаҕа,1
маньньыйдаҕына,1
маньньыттар,1
маньч,1
маньчжур,5
маньчжурдар,4
маньчжурдарга,1
маньчжурия,5
маньчжурияны,1
маньчжурияҕа,4
маньяк,1
манэ,1
манюрова,1
маня,25
манялыын,1
маняны,1
маняттан,1
мао,1
маодунь,1
маори,4
маппат,2
маппатаххыт,1
маппыт,1
маппыта,4
маппытай,1
маппыттара,4
маппытыҥ,1
мара,8
марай,1
марайдааһын,1
маракана,1
маралаайы,1
маралаах,2
маралаахтарыгар,4
марат,13
марафон,13
марафона,2
марафонец,1
марафонецтар,1
марафоннара,1
марафоннуоҕун,1
марафонтан,1
марафону,3
марафонугар,3
марафонун,1
марафонҥа,1
марафоҥҥа,12
мараҕа,1
марба,1
марбург,3
марганец,3
маргарита,24
маргыспыттар,1
мардь,1
мардьай,2
марениска,1
мари,3
марианна,14
марий,1
марийдыы,1
марийск,1
марик,1
марина,32
марино,2
маринуйданар,2
маринуйдууллар,8
маринченко,1
марио,1
мариса,2
марихуана,2
марихуананы,1
мария,117
марк,16
марка,1
маркалаах,3
марканан,1
маркеловы,1
маркес,1
маркет,4
маркета,1
маркетинг,3
маркетинҥа,1
маркетолог,3
маркетологтар,1
маркеттарын,1
маркетын,1
маркиз,2
маркииһа,1
маркин,1
маркировка,1
маркировкалаах,1
маркировкалааһын,1
маркировкалара,1
маркировкалыырга,1
маркировканы,1
маркировкатыгар,1
марко,1
марков,27
маркова,10
маркович,4
марковка,2
марколля,1
маркрировкалыыр,1
маркс,12
марксизм,6
марксизмы,1
марксист,3
марксистскай,1
маркстар,1
маркшейдерия,1
марлен,1
марли,1
марлинскай,1
марлинскайы,1
марлинского,1
мармар,1
мармелад,3
мармелада,1
марокко,2
марокколыын,1
марракеш,1
марс,3
марсан,3
марсден,12
марсдены,1
марсденҥа,1
марсынан,1
март,2
марта,13
мартемьянов,1
мартен,1
мартин,7
мартиника,1
мартину,1
мартиҥҥа,1
мартынов,2
мартынова,1
мару,1
марусин,1
марфа,14
марфусалова,1
марха,53
мархатааҕы,2
мархатыттан,1
мархаҕа,6
мархинка,2
мархинскай,1
марчин,1
марш,4
марша,1
маршал,4
маршала,3
маршалик,3
маршалл,1
маршаллар,1
маршалов,1
маршальскай,1
маршрукка,5
маршрут,13
маршрута,7
маршрутам,1
маршрутизация,1
маршрутнай,2
маршрутнайдар,1
маршруттан,7
маршруттар,6
маршруттара,8
маршруттарга,2
маршруттарыгар,1
маршруттарын,5
маршруттарынан,3
маршруту,4
маршрутугар,1
маршрутун,5
маршрутунан,6
марштар,1
марштруттаах,1
марштруттарын,1
марштрутун,1
марыкчан,1
марыыҥка,2
марыыҥкалыын,1
марыыҥкатын,1
марьин,1
марҕа,200
марҕаа,4
марҕалаах,8
марҕаҕа,8
мас,462
масаси,1
масина,2
маск,1
маска,34
маскалаах,1
маскалары,4
маскараат,2
маскарааттары,2
маскатка,1
маски,2
маскота,1
маскы,1
маскэ,1
масла,1
масленица,1
масленников,1
маслодел,1
масон,2
масоннар,1
маспакы,1
маспытын,1
масреслиҥ,1
масс,5
масса,3
массаж,5
массажистара,2
массажнай,5
массаны,1
массачусетс,2
массачусетскай,1
массачусетском,1
массе,2
массив,1
массива,1
массивтардаах,1
массивы,2
массивын,1
массовай,1
массовые,1
масстар,1
массына,6
массыналар,2
массыналарга,2
массыналары,2
массыналарыгар,1
массынаны,4
массыына,285
массыынабыт,3
массыыналаах,6
массыыналар,55
массыыналара,15
массыыналарга,43
массыыналардаах,3
массыыналартан,2
массыыналары,23
массыыналарыгар,8
массыыналарын,11
массыыналарынан,4
массыыналырн,1
массыыналыын,3
массыынам,1
массыынанан,21
массыынаннан,1
массыынаны,66
массыыната,17
массыынаттан,4
массыынатыгар,4
массыынатын,16
массыынатынан,1
массыынаҕа,24
массыынаҥ,1
массыыны,1
маста,1
мастаабакка,2
мастаабыт,2
мастаах,47
мастан,16
мастар,20
мастара,4
мастарга,2
мастардаах,2
мастартан,4
мастары,9
мастарыгар,2
мастарым,1
мастарын,5
мастарынан,1
мастарыскыай,10
мастарыскыайа,4
мастарыскыайдаах,1
мастарыскыайдары,2
мастарыскыайы,3
мастарыскыайыгар,4
мастарыскыайын,2
мастарыстыбатын,2
мастахской,1
мастацтва,1
мастер,22
мастера,6
мастеров,1
мастерской,1
мастерскойун,2
мастерскуой,1
мастерство,1
мастерынан,1
мастыарскыайа,1
мастыйбыт,1
мастырыскыай,1
мастырыскыайа,1
мастырыскыайдар,1
мастырыскыайдарыгар,1
мастырыскыайыгар,1
мастыы,2
мастыыр,2
мастыыра,4
мастыырга,2
мастыҥы,1
масть,2
масчыт,6
масчытынан,1
масштабнай,1
масштабные,1
масштабтаах,3
масштабтаахтык,1
масштабынан,1
масыына,4
масыыналарынан,1
масыынан,1
масыынанан,2
мат,2
мата,4
маталдьыппыттарын,4
матан,5
матаннанов,1
матаннанова,3
матарама,1
матаран,1
матарбыта,4
матарыйаал,2
матарыйааларын,2
матарыйаалларын,1
матарыйаллары,1
матарыма,1
матасыыкыллаах,1
матасыыкыллар,2
матасыыкылынан,3
матаҕа,4
матаҕатын,2
матвеев,13
матвеева,8
матвеевалыын,1
матвеевич,6
матвеевка,1
матвеевна,4
матвеевнаны,1
матвей,18
матвиенко,3
математига,1
математик,7
математика,66
математиканы,9
математикаҕа,14
математики,2
математиктар,3
математиктара,1
математическай,17
математический,1
матерей,1
материал,2
материала,1
материалами,1
материали,1
материализм,1
материализма,2
материализмҥа,1
материалист,1
материаллара,3
материаллартан,1
материаллары,2
материалларын,3
материалов,4
материаловедения,1
материалом,1
материалы,12
материальнаи,1
материальнай,38
материально,1
материальной,1
материк,5
материкка,4
материктан,1
материктары,2
материнская,1
материнском,1
материнства,2
материя,4
матерям,1
матиас,1
матицин,1
матпласт,1
матрена,22
матрица,2
матрицатын,3
матрос,1
матта,6
маттаҕа,5
маттаҕына,1
маттссон,1
маттым,2
маттыҥ,1
матч,3
матчка,2
матчыгар,1
маты,1
матыах,8
матын,1
матынарга,1
матырыйаал,41
матырыйаала,10
матырыйаалара,1
матырыйааларын,2
матырыйаалбытын,4
матырыйаалга,4
матырыйаалгын,2
матырыйаалгыт,1
матырыйааллаах,1
матырыйааллар,24
матырыйааллара,10
матырыйаалларбыттан,1
матырыйаалларбытын,3
матырыйаалларга,3
матырыйааллардаах,1
матырыйааллартан,2
матырыйааллары,22
матырыйаалларыгар,5
матырыйаалларын,25
матырыйаалларынан,9
матырыйаалларыттан,1
матырыйаалллары,1
матырыйаалтан,7
матырыйаалы,16
матырыйаалыгар,2
матырыйаалын,10
матырыйаалынай,1
матырыйаалынан,6
матырыйаалыттан,4
матырыйаларын,1
матырыйаллар,1
матырыйаллара,1
матырыйаллардаах,1
матыцин,7
матыыба,2
матыыбыгар,4
матыыбын,6
матыыбынан,4
матыып,2
матыыптаах,3
матыыптара,1
матыыптары,1
матыыптарынан,1
мать,2
матьяш,1
маузер,1
маулет,1
маурдар,1
мауританиялыын,3
мауритиус,3
маурья,1
мауһу,1
мах,12
махабхарата,1
махараджа,1
махаров,2
махатхир,1
махатыров,1
махач,3
махачкала,2
махачкалаҕа,1
махмуд,2
махмутовы,1
махначыабыскай,2
махнув,1
махотсав,1
махпела,1
махсуд,1
махсыым,1
махтабыл,1
махтайа,3
махтайан,3
махтайар,1
махтайдылар,1
махтайыы,5
махтал,62
махтала,1
махталбын,21
махталбыт,2
махталбытын,7
махталлаах,6
махталлаахпыт,1
махталларын,5
махталларынан,1
махталы,5
махталым,4
махталын,8
махталынан,2
махтаммыт,7
махтаммыта,2
махтаммыттыы,1
махтана,9
махтанабын,26
махтанабыт,16
махтаналлара,1
махтаналларын,1
махтанан,2
махтанар,2
махтанна,19
махтаннылар,1
махтаныам,1
махтаныах,1
махтаныахпын,1
махтаныахтаахпыт,2
махтаныаҕыҥ,2
махтаныаҥ,3
махтаныы,1
мацури,2
мача,3
мачах,2
мачахов,1
мачо,2
маччасынов,1
маша,14
машабытыныын,1
машаду,1
машалаах,1
машалаахха,1
машаны,1
машата,1
машин,1
машина,2
машинах,1
машине,1
машинист,4
машинистара,1
машиниһа,5
машиниһын,1
машинке,1
машинку,1
машинное,5
машиноведение,3
машинострение,2
машиностроение,5
машиностроения,2
машиностроительнай,3
машины,1
маыы,4
маьы,1
мая,9
маягы,1
маяк,9
маякка,1
маяковскай,1
маяктары,3
маятник,3
маҕа,1
маҕаас,1
маҕааччыйа,2
маҕаачыйа,1
маҕай,2
маҕайкаан,4
маҕан,33
маҕаннааҕы,1
маҕанныыр,7
маҕантан,1
маҕарас,2
маҕаҥҥа,4
маҕаһыннара,1
маҕаһыыммытыгар,1
маҕаһыын,22
маҕаһыына,2
маҕаһыыннаах,2
маҕаһыыннаахпыт,1
маҕаһыыннаахтар,1
маҕаһыыннар,13
маҕаһыыннара,4
маҕаһыыннарга,11
маҕаһыыннары,1
маҕаһыыннарыгар,4
маҕаһыыннарын,2
маҕаһыыннарынан,1
маҕаһыыннарыттан,2
маҕаһыынтан,4
маҕаһыыны,3
маҕаһыыныгар,12
маҕаһыынын,1
маҕаһыыныттан,5
маҕаһыыҥҥа,15
маҕый,1
маҕырас,1
маҕырыы,2
маҥаас,14
маҥааччыйа,1
маҥалай,1
маҥан,235
маҥана,1
маҥаннар,1
маҥанныҥы,1
маҥантан,1
маҥанын,4
маҥкыларыгар,4
маҥкытыгар,2
маҥкытын,4
маҥкүлэ,1
маҥнаи,1
маҥнай,114
маҥнайгы,323
маҥнайгынан,15
маҥнайгыттан,24
маҥнайгытыгар,1
маҥнайгытын,25
маҥнайгытынан,5
маҥнайыттан,1
маҥхайа,4
маҥхайан,1
маҥхайар,4
маҥхайарын,1
маҥхайбыт,4
маҥхалыын,4
маҥхатыллыбыт,1
маҥырааһынынан,4
маҥырыыр,1
маҥырыыра,1
маҥырыырыттан,1
маҥҕыстау,1
маһа,24
маһарах,2
маһары,114
маһарыга,4
маһарыны,8
маһарыттан,2
маһарьн,4
маһы,81
маһыгар,6
маһым,3
маһын,19
маһынан,34
маһынна,1
маһыныы,2
маһыттан,2
маһыҥ,1
мбайтаах,3
мбдоу,2
мбит,4
мбоу,1
мбу,1
мвд,3
мвт,4
мгер,41
мгимо,1
мгновение,1
мгновений,1
мгновенно,1
мгу,6
мгц,1
мебелинэн,2
мебель,1
мебельщик,1
меби,1
мег,1
мегабайт,3
мегабитка,1
мегаватт,6
мегаваттаах,1
мегаполис,1
мегаполисресурс,2
мегаполиһа,1
мегапроекка,1
мегафон,15
мегедьэк,1
мегежекскай,1
мегежекскэй,2
мегино,6
мегинская,1
мегинского,1
мегинскую,2
мегуро,2
меда,1
медалистар,1
медалистарын,1
медалиһа,1
медалиһын,2
медалларынан,1
медальоннаах,1
медалью,1
медалями,5
меданта,3
медвевев,1
медведев,16
медведева,1
медведевка,2
медведевкэ,1
медведевтэн,1
медведевы,1
медведь,1
медведя,1
медвежьи,2
медгородок,1
медеа,1
медельин,1
медея,1
медиа,26
медиалогия,4
медиамейкер,1
медианнай,3
медианы,1
медиаперсоната,1
медиаполитикаҕа,3
медиарейтинигэр,1
медиарейтиннэригэр,1
медиарейтинҥэ,1
медиафорумҥа,1
медиахолдинын,1
медиаҕа,1
медиги,1
медийнэй,2
медик,17
медикаменнары,1
медикаменнарын,1
медики,1
медико,6
медиктара,1
медиктэр,18
медиктэргэ,8
медиктэри,1
медиктэрин,1
медиктэрэ,6
медикэрин,1
медина,1
мединаҕа,3
мединскэйи,1
мединститукка,1
мединститутка,1
мединституту,1
мединституут,1
медисона,1
медисоном,1
медиссиинэ,1
медициинискэй,1
медициинэ,2
медициинэҕэ,1
медицина,148
медицинанан,1
медицинаны,2
медицинатын,7
медицинаҕа,5
медицинскай,11
медицинские,1
медицинской,1
медицинскэй,290
медицинэ,72
медицинэтин,2
медицинэтэ,1
медицинэҕэ,3
медичи,3
медклиникатын,1
медколледж,2
медколледжа,1
медколледжтарга,1
медленно,1
медлительные,1
медная,1
медного,1
медный,1
медоборудование,3
медоборудованиенан,1
медовый,1
медосморт,1
медосмотр,3
медосмотру,1
медперсонал,3
медперсоналга,4
медперсоналы,1
медпункт,2
медсестра,2
медсеть,4
медсиэстэрэлэргэ,1
медуза,1
медунаны,1
медучилищетын,1
медфагын,1
медцентр,4
межведомственнай,2
межгорного,1
межгорные,1
между,15
международнай,3
международная,4
международного,6
международном,4
международному,1
международные,2
международный,4
международным,1
международными,1
международных,6
межевой,2
межнационального,1
межнациональный,1
межостровное,1
мезенцевы,1
мезозой,2
мезолит,1
мезопротерозойга,1
меицинскэй,1
мейзи,1
мейнард,1
мейнфрейм,1
мейнфреймов,2
мейнфреймы,1
мейрам,3
мекка,5
мекканан,1
мекканы,2
меккаҕа,1
мексика,11
мексикан,1
мексиканский,1
мексиканском,1
мексикаттан,2
мексикаҕа,6
мексики,1
мексико,1
мекумянов,1
мел,2
меладзе,1
меланит,1
мелетский,1
мелехов,1
мелиоративнай,2
мелиоратор,1
мелиоратордар,1
мелиораторов,3
мелиорация,1
меловай,1
мелодист,16
мелодистар,1
мелодистарын,1
мелодистка,1
мелодичный,1
мелодию,1
мелодия,4
мелодиялара,1
мелодиянан,1
мелодияны,1
мелодията,2
мелодиятыгар,6
мелодиһа,3
мелодиһы,1
мелодрама,1
мельбурн,1
мельбурна,1
мельников,2
мельникова,1
мельница,1
мельничук,1
мелүйүөн,2
мембраннай,1
меморандум,2
меморандумҥа,2
мемориал,10
мемориала,3
мемориалга,1
мемориаллары,1
мемориалы,1
мемориалыгар,1
мемориальнай,6
мемориальной,1
мемуар,1
мемуары,2
мемфис,2
менгес,1
менда,1
менделеев,8
менеджер,9
менеджердарынан,1
менеджердэр,3
менеджердэргэ,1
менеджердэригэр,1
менеджердэрэ,1
менеджеринэн,2
менеджерэ,3
менеджменигэр,1
менеджменин,1
менеджмент,8
менеджментка,1
менеджменҥа,1
менее,6
менингит,1
менкяров,4
менс,1
менталитекка,1
менталитет,2
менталитета,1
менталитеттара,1
менталитеттарын,1
менталитетын,1
ментальнай,1
меньше,4
меньшем,1
меню,2
менюга,1
менюну,1
меня,17
меняет,1
меняется,2
меняются,1
меосопотамия,1
мер,2
мерах,1
мераҕа,1
мерген,2
мере,2
мереорологтар,1
мерещатся,1
мерзлотка,1
мерзлотнай,1
мерзлотовед,2
мерзлотоведения,1
мерзлоты,7
меридиан,3
меридианнара,1
меридианннара,1
меридиантан,2
меридианы,1
меридиаҥҥа,1
мерилин,1
мерило,1
меркадер,1
меркантилизм,1
меркель,2
меркииттэр,3
меркит,6
меркиттар,9
меркиттарга,1
меркиттары,2
меркиттэри,1
меркурий,1
мероприятии,2
мероприятий,2
мероприятия,9
мероприятиях,1
мертв,1
мертвая,1
меры,3
мескитовые,1
месопотамия,2
месопотамияттан,1
месопотамияҕа,1
мессенджердарга,1
мессенджердэр,3
мессенджердэринэн,1
месси,1
мессинг,1
мессинга,1
мессия,1
мессье,1
мест,3
места,13
местами,1
месте,4
месткома,1
местников,55
местникова,1
местниковка,1
местниковтан,1
местниковтыын,1
местниковы,4
местного,1
местной,1
местному,1
местности,4
местными,2
местных,3
место,26
местонахождением,1
местообитаний,1
местопребывание,2
местопребыванием,3
месторождение,3
месторождениетын,1
месторождениеҕа,1
месторождений,1
месторождения,1
месту,1
месяц,2
месяца,1
метаболизм,1
метаболизмҥа,1
метал,7
метала,1
металл,4
металлаах,2
металлар,5
металлартан,1
металлик,1
металлическэй,1
металлов,1
металлоломҥа,1
металлургии,1
металлургическай,1
металлургический,1
металлургия,8
метаний,1
метанолу,1
метафизика,2
метафора,2
метео,2
метеобудка,1
метеооводканы,1
метеорит,4
метеорита,1
метеороидтан,1
метеороидтар,1
метеоролог,1
метеорология,3
метеорологияны,2
метеорологияҕа,1
метеорологтар,2
метеостанция,4
метеостанцияларга,1
метеостанцияҕа,1
метеосулууспа,1
метериальнай,1
метин,1
метод,1
методииһынан,1
методика,3
методикалар,1
методикалара,2
методиканан,1
методиканы,1
методиката,1
методикатын,1
методикаҕа,1
методист,5
методистом,1
методисты,1
методическай,14
методические,1
методической,1
методическэй,2
методиһа,5
методологичэскэй,1
методологиятын,1
методы,1
методынан,1
метохи,1
метохия,1
метр,4
метражтаах,2
метрга,4
метре,1
метрическэй,1
метрия,1
метро,2
метрологическай,2
метрологияҕа,1
метрополиска,1
метрополитен,4
метрополия,2
метрополията,2
метротугар,1
метроҕа,1
метры,2
метрэлээх,1
метрэни,1
метрэҕэ,1
метталургия,1
мефодий,2
мефодия,1
механига,1
механизатор,3
механизатора,1
механизатором,1
механизациялаах,1
механизацияланыахпыт,1
механизацияны,2
механизированнай,6
механизм,5
механизма,5
механизмнаах,2
механизмнар,2
механизмнары,3
механизмы,1
механизмын,2
механизымын,1
механиизымын,1
механик,4
механика,1
механикатын,1
механикаҕа,1
механиктарын,1
механиктыыр,1
механическай,7
механическая,1
механической,1
механотерапияҕа,1
мехико,4
мехнизацияҕа,2
меховая,1
мехонцев,1
меценаата,1
меценат,3
мецената,2
мечел,3
мечников,1
мечта,5
мечтайдыы,2
мечтать,1
мечте,1
мечту,1
мечты,4
мешаешь,1
мешали,1
мешалкин,1
мещанин,1
мива,25
мигалкин,10
мигалкина,1
мигалкины,1
мигел,1
мигель,1
миграннары,3
миграционнай,2
миграционной,1
миграционный,1
миграция,2
миграцияны,1
мигунова,2
мигынан,1
миддендорф,1
мизес,1
мии,4
миигии,2
миигин,257
миигиннээҕэр,2
миигинэ,5
миигинэн,1
миигиттэн,13
мииммит,2
мииммитэ,4
мииммэт,1
миин,8
миини,3
миинииллэр,2
мииниистир,2
мииниистирэ,1
мииниллэр,4
миинин,5
миининэн,1
мииннэ,1
мииннэн,3
мииннэр,4
мииннэрбэккэ,1
мииннэрин,1
мииннэрэн,9
миинэ,15
миинэбин,2
миинэллэрин,1
миинэн,58
миинэр,14
миинэргэ,1
миинээт,2
миинэҕэ,1
миириинэй,1
миирининэй,1
мииринэй,115
мииринэйгэ,29
мииринэйдиир,1
мииринэйдээҕи,9
мииринэйи,1
мииринэйтэн,6
миирнэй,78
миирнэйгэ,68
миирнэйдээҕи,2
миирнэйи,2
миирнэйтэн,2
миискэни,4
миискэҕэ,1
миисэ,1
миисэбит,2
миисэлээх,3
миисэтин,1
миисэтиниин,1
миисэтэ,2
миисэҕэ,2
миитин,3
миитискэ,3
миитиҥҥэ,4
миитэрэй,70
миитэрэйбит,1
миитэрэйгит,1
миитэрэйгэ,6
миитэрэйдээх,6
миитэрэйи,10
миитэрэйтэн,1
миитэрэйэбис,6
миитэрэпээн,1
миитэрээй,3
миифтэригэр,1
миичэ,1
миичэкэ,1
миичэкээн,2
миичэкээни,1
мииһэ,1
мииһэр,1
мийигин,1
микаэл,2
микеланджело,5
микеландьело,2
микеландьелоны,1
микиитэ,4
микиитэттэн,1
микки,1
миккиллибит,1
миккиэриттэн,1
микобактерияны,1
микола,1
миколаева,1
миколог,1
микро,9
микроавтобус,11
микроавтобустан,1
микроавтобустарга,1
микроавтобуһу,1
микроб,2
микроба,1
микробиологическай,2
микробиологическэй,1
микробиология,11
микробиологияҕа,2
микробтан,1
микробтар,1
микробу,1
микробунан,2
микроволновай,1
микроволновки,1
микрозайм,1
микрокапсулата,1
микроконвекснай,1
микрокөмпүүтэрдэргэ,1
микрометр,1
микронезия,1
микрооптуобус,1
микроорганизм,1
микроорганизмнар,4
микроорганизмнары,2
микроорганизмы,1
микрооройуон,16
микрооройуона,1
микрооройуоннар,4
микрооройуоннарга,1
микрооройуоннартан,1
микрооройуоннарыгар,1
микрооройуонугар,10
микрооройуонун,6
микрооройуоҥҥа,14
микропроцессор,1
микропроцессоры,1
микрорайон,2
микрорайона,5
микрорайоннарыгар,2
микрорайонугар,6
микрорайонун,2
микрорайонҥа,1
микрорайоҥҥа,3
микроройуонугар,2
микроскобунан,3
микроскоп,1
микроскопическай,2
микрофинансовай,1
микрофон,2
микрофону,3
микрофоссилиялар,1
микрофоссилиялары,1
микроэкономика,2
микроэкономикалыын,1
микроэкономикаҕа,1
микроэлеменнардаах,1
микроҥҥа,2
микс,5
миксер,1
микст,1
микульская,1
микшер,1
мил,2
мила,1
милан,3
милана,2
милане,1
миланович,2
милановская,1
милена,2
милентий,1
милетий,1
мили,2
милиард,9
милиге,1
милиисийэлээбит,1
милииссийэ,3
милииссийэтин,1
милииссийэҕэ,3
милирадтан,1
милиционер,3
милицию,1
милиция,7
милициятыгар,1
милицияҕа,2
милки,1
милл,3
миллард,1
миллер,4
миллиад,1
миллиар,2
миллиард,269
миллиарда,1
миллиардер,2
миллиардка,4
миллиардов,1
миллиардтаах,1
миллиардтан,20
миллиарды,2
миллиардынан,6
миллиартан,3
миллиметрга,2
миллиметрдаах,1
миллион,15
миллиона,1
миллионер,1
миллионером,1
миллионна,1
миллионник,1
миллионы,1
милосердия,1
милости,1
милошевич,1
милтон,2
милфонтешгода,1
милые,2
миль,1
мильштейн,1
милэкэ,1
миля,1
мин,2290
мина,1
минводхоһа,1
минданао,1
миндиашвили,1
миней,1
минераал,2
минерааллар,1
минераалларыгар,1
минераальнай,1
минерал,1
минерала,1
минерализованнай,17
минераллар,1
минераллары,2
минералогическай,2
минералогических,1
минералогическэй,1
минералогия,4
минералынан,1
минеральнай,9
минеральные,1
мини,5
миниатюраларын,2
миниатюры,1
миниистир,93
миниистиргэ,1
миниистирдэр,21
миниистирдэри,4
миниистирдэрин,18
миниистирдэрэ,5
миниистири,20
миниистиригэр,6
миниистирин,101
миниистиринэн,10
миниистириэристибэтин,1
миниистирэ,318
миниистиэристибэтин,9
миниистиэристибэтэ,1
миниистиэрэ,2
миниистыр,1
миниистэрэ,2
минималистическай,1
минимтиэристибэ,1
минин,3
минисериал,2
минисиэристибэтин,1
министерскэй,1
министерств,1
министерства,6
министерство,3
министерстволар,1
министерствота,4
министерствоттан,1
министерствотыгар,2
министерствотын,3
министерствотыттан,1
министиистирэ,3
министирдэр,1
министирдэрин,1
министирин,2
министирэ,2
министиэрисибэтин,1
министиэристибэ,108
министиэристибэбит,4
министиэристибэлэр,7
министиэристибэлэргэ,5
министиэристибэлэри,1
министиэристибэлэригэр,6
министиэристибэлэрин,6
министиэристибэлэрэ,6
министиэристибэни,1
министиэристибэтигэр,63
министиэристибэтин,708
министиэристибэтинэн,4
министиэристибэтиттэн,3
министиэристибэтэ,332
министиэристибэтэтэ,2
министиэристибэҕэ,17
министиэристиибэтин,1
министиэристэбэтэ,1
министиэрстибэтэ,1
министр,21
министра,4
министринэн,1
министром,2
министрэ,1
министэрскэй,1
минитиэристибэтин,2
минитсиэристибэ,1
минифутбол,1
миннестоҕа,1
минниханов,1
минньигэс,46
минньигэстик,12
минньигэһин,5
минньигэһэ,1
минньий,4
минньийэ,2
минньийэрин,2
минньиппэт,1
минньитиэҕэ,2
миннэй,1
миномет,1
минометнай,1
минометного,1
миноритарнай,1
минорскай,2
минпромторг,2
минсиистирин,1
минситиэристибэлэри,1
минск,1
минскэй,2
минстрой,1
минувшие,1
минусинск,2
минусинскай,2
минусы,1
минут,3
минутрежиссер,1
мины,1
минь,1
минэ,1
минэнерго,1
минээн,23
миокарда,1
мип,6
мир,35
мира,27
мираж,1
мире,23
мириистирэ,2
миринэй,3
миринэйгэ,1
мирко,2
мирнинский,1
мирное,1
мирном,1
мирнэй,44
мирнэйгэ,61
мирнэйдэр,1
мирнэйдээҕи,2
мирнэйтэн,6
мировая,1
мирового,2
мировоззрение,1
мировой,3
мировом,2
мировую,1
мировым,1
миром,1
миронов,7
миронова,3
миронович,1
мироновскай,1
миронцев,1
мирослав,8
мирпутешествий,2
миру,4
миси,1
мисками,1
мискийэн,2
мисник,1
мисо,1
мисс,12
миссии,3
миссионер,3
миссионердар,2
миссионерскай,1
миссис,6
миссиссиппи,3
миссия,1
миссиялара,1
миссиятын,1
миссури,1
мистер,4
мисти,1
мистическэй,1
мисэтэҕэ,1
мисээкэ,1
мита,1
митология,2
митрополита,1
митрополитын,1
митрофанов,2
митсубиши,2
мифологияларынан,1
михаил,404
михаила,1
михаилга,1
михаилович,1
михай,1
михайлов,40
михайлова,22
михайлович,69
михайловичка,1
михайловичтыын,3
михайловка,1
михайловкатыгар,1
михайловна,41
михайловнаны,2
михайловнаҕа,1
михайловскай,1
михайловтар,1
михайловы,1
михал,2
михалева,3
михалевич,1
михалов,1
михальчук,1
михеев,1
михеевич,1
михееву,1
михеенков,2
михээлэйэби,1
мицкевич,2
мицкевичка,1
мицуи,1
мицухиса,1
мичиган,2
мичийэ,7
мичийээнэ,2
мичик,12
мичил,7
мичилий,2
мичилийбит,4
мичилийбитэ,3
мичилийэ,1
мичилийэр,1
мичилиһэ,1
мичиҥнээ,2
мичээр,5
мичээрдии,17
мичээрдиир,5
мичээрдиирэ,3
мичээрдэспиттэрэ,4
мичээрдээбит,1
мичээрдээбитинэн,1
мичээрдээбитэ,10
мичээрдээн,10
мичээрдээтэ,4
мичээрдээх,4
мичээрдэһиибититтэн,1
мичээри,1
мичээрин,1
мичээрэ,5
миша,25
мишабар,1
мишабыт,1
мишаны,1
мишатыгар,1
мишель,2
мишин,1
мишустин,63
мишустины,10
мишустиҥҥа,1
миэбэл,12
миэбэли,2
миэбэлин,1
миэбэлинэн,2
миэбэллээх,1
миэбэлэ,1
миэксикэ,1
миэлгэ,1
миэлинсэтигэр,1
миэлинэн,1
миэличээн,1
миэлиҥсэ,2
миэлиҥсэлэрэ,1
миэнин,1
миэнинээҕэр,1
миэнэ,18
миэритин,1
миэрэ,49
миэрэлэр,79
миэрэлэрбит,1
миэрэлэргэ,8
миэрэлэри,54
миэрэлэрин,34
миэрэлэринэн,14
миэрэлэриттэн,1
миэрэлэрэ,28
миэрэни,28
миэрэр,1
миэрэтигэр,3
миэрэтин,6
миэрэтинэн,2
миэрэтэ,11
миэрэҕэ,6
миэс,1
миэстэ,143
миэстэбитигэр,1
миэстэлэ,1
миэстэлэммит,1
миэстэлэр,15
миэстэлэрбин,1
миэстэлэргэ,22
миэстэлэри,21
миэстэлэригэр,6
миэстэлэрин,6
миэстэлэринэн,2
миэстэлэрэ,2
миэстэлэспиппит,1
миэстэлэспит,9
миэстэлэспитим,2
миэстэлэстэ,1
миэстэлээх,133
миэстэлээхтэр,2
миэстэлээхтэри,1
миэстэлээҕэ,1
миэстэлэһэр,2
миэстэни,129
миэстэнэн,4
миэстэтигэр,80
миэстэтин,46
миэстэтинэн,3
миэстэтиттэн,2
миэстэттэн,5
миэстэтэ,40
миэстэҕэ,113
миэсэни,1
миэтирэ,16
миэтирэлээх,2
